id	lat	lon	name
3816338613	41.0194019	28.9278973	TOPKAPI CADDESİ
3816343626	41.0661853	28.9592667	Kağıthane Garajı
3816343632	41.0470791	28.9432342	FSM Vakıf Üniversitesi
3816343633	41.0484809	28.9435768	Halıcıoğlu 1
3816343635	41.0312400	28.9339530	Edirnekapı Tramvay
3816343637	41.0234568	28.9286489	Ulubatlı
3946487108	41.0929646	28.9779234	Başak Konutları
3946487109	41.0925177	28.9752768	Ekrem Cevahir İ.H.L.
4053797624	41.0759350	29.0143480	Levent
4061318675	40.9523491	29.0944056	Bostancı İskele
4068064209	40.9557650	29.0943711	Üstbostancı
4068064210	40.9571670	29.0873967	Çatalçeşme
4068064211	40.9599014	29.0817339	Suadiye
4068064212	40.9632150	29.0754629	Şaşkınbakkal
4068064213	40.9665123	29.0693368	Erenköy
4068064214	40.9718534	29.0592560	Göztepe
4068064215	40.9672741	29.0562884	Göztepe
4068064216	40.9642512	29.0644398	Caddebostan
4068064217	40.9564761	29.0781948	Suadiye
4068064218	40.9548168	29.0842020	Tan Sokak
4068064219	40.9539906	29.0894600	Çatalçeşme
4068084892	41.0333979	29.0249724	Paşa Limanı
4068084893	41.0391255	29.0337110	Abdullah Ağa
4068084894	41.0389232	29.0336279	Şehit Samet Uslu durağı
4169688145	41.0274900	29.0157009	Üsküdar
4169688146	41.0275640	29.0161490	Üsküdar
4169818140	41.0425435	29.0069254	Beşiktaş İskele;Beşiktaş Peronlar
4169865015	40.9913972	29.0228350	İskele
4318830189	41.0227426	28.6240135	Beylikdüzü Sondurak
4356704196	41.0373246	28.9876442	Taksim
4357242202	41.0250078	28.9769423	Kemeraltı
4479533689	41.0256548	29.0208166	Şehit Çetin Can
4543179541	40.9422016	29.1450637	Çamlık
4550632990	40.9057701	29.1606274	Başak Sokak
4553840691	41.0229442	29.0520092	Millet Bahçesi
4557019485	40.9751249	29.0988232	Kozyatağı Metro
4561209414	40.9603959	29.0937841	Şenesenevler
4573164440	41.0167403	29.0432527	Tophanelioğlu Caddesi
4573821482	40.9542979	29.1668790	Narcıty İş Merkezi
4574977243	41.0234427	29.0426104	Altunizade
4574984718	41.0244824	29.0363303	Bağlarbaşı Kültür Merkezi
4575164388	41.0267760	29.0336531	Kuruçeşme
4575166427	41.0279368	29.0299040	Fıstıkağacı
4575167388	41.0277865	29.0298279	Fıstıkağacı
4575871212	40.9708142	29.1397996	Fındıklı Mahallesi Durağı
4577189478	40.9611324	29.0790908	Mücahit Sokak
4578703995	40.9796859	29.0442965	Konak
4580489089	40.8897011	29.1797025	Şehit Kemal Tosun
4581926191	40.9850662	29.0515402	Marmara Üniversitesi Göztepe Yerleşkesi
4586889206	41.0012519	28.8917589	Zeytinburnu Çırpıcı
4596000091	40.8972990	29.1719642	Beyaz köşk
4596000092	40.9008181	29.1678329	Istasyon
4677743644	41.0533051	28.9587588	Cemal Kamacı
4703370489	40.9384325	29.2970349	Sultanbeyli Peronlar
4795425033	40.9868184	29.0883093	Yenisahra
4822498024	40.9814514	29.1449628	Uslu Caddesi
4822743225	40.8911903	29.2585809	Atatürk Caddesi
4842022259	40.8920586	29.2601810	Hukukçular Sitesi
4845155657	41.0112213	29.1193215	Sancaktepe Camii
4853282051	40.9665869	29.2689131	Sultanbeyli Merkez
4853282053	40.9687599	29.2611201	Çiftlik
4877506434	40.9647611	29.0726865	Kantarcı
4938154322	41.0393952	29.0687087	Yeni Şahin Sokak
4952640132	41.0489798	28.8965290	Kocatepe Metro
4972799723	40.9958547	29.0859363	Şehit Cahar Dudayev Caddesi
4972805521	40.9903165	29.1262244	Turgut Özal Bulvarı
4974306277	41.0664157	29.0130762	Zincirlikuyu
4978809607	40.9904663	29.1368716	Doğu Ataşehir
4978809608	40.9907481	29.1357102	Teb Ataşehir Anadolu Lisesi
4978809609	40.9916497	29.1317921	Ataşehir Siteler
4989196021	41.0579301	28.8915939	Meltem Sokak
4997449322	41.0429629	28.9038695	Bayrampaşa Devlet Hastanesi
5001137923	41.0049274	29.1342331	Tatlısu Mahallesi
5001149621	41.0051564	29.1342841	Tatlısu Mahallesi
5001361021	40.9930826	29.1226995	Ataşehir Plazalar
5080777821	41.1822355	28.7468060	Saliha Sokak
5101777021	40.9812378	29.0413440	Ihlamur
5101777022	40.9702369	29.0531746	Çiftehavuzlar
5108371522	41.0107566	28.9497727	Aksaray
5108794422	41.0139590	28.9450380	İskenderpaşa
5108803122	41.0207450	28.9352580	Bezmialem Vakıf Üniversitesi
5108803123	41.0240752	28.9304408	Ulubatlı
5108806121	41.0178037	28.9395165	İstanbul Emniyet Müdürlüğü
5108874522	41.0154760	28.9428570	Oğuzhan
5112233561	40.9088540	29.3150098	Sabiha Gökçen Havalimanı
5116183326	41.0265355	28.8878823	Spor Kompleksi
5133064924	41.1074949	29.0575212	Emirgan
5197319021	40.8786848	29.2431792	Pendik Emniyet Müdürlüğü
5236980621	41.0409543	28.7895830	Güneşpark Evleri
5239669821	41.0137308	29.0751995	Çeşme
5241132621	41.0460680	28.9868520	TRT İstanbul Radyosu
5247613228	41.0399825	29.1870607	Yeşiltepee Son Durak
5248897218	41.0398630	29.1797630	Küçük Koru Cami
5255830724	41.0403350	29.1759770	Çekmeköy
5263672512	40.9488740	29.1231399	Küçükyalı
5266212092	41.0373139	29.1747310	Köşk
5266212093	41.0344620	29.1749320	Köyiçi
5272473035	40.9580077	29.0961565	Bostancı
5280587296	40.9522025	29.0967073	Bostancı
5284636293	41.0598111	28.9128899	Cumhuriyet Meydanı
5284636319	41.0539780	28.9101740	Bereç
5285760906	41.1076576	28.8612492	1. Cebeci Caddesi
5285979523	40.9307471	29.2147079	Uğurmumcu
5286349760	41.0219110	29.0483118	Altunizade
5291454637	41.0379290	29.1750430	Köşk
5291970733	41.1043166	28.8612684	Sultançiftliği (Edirnekapı Yönü)
5295118530	41.1357653	28.8277226	Tepeüstü
5295118531	41.1356375	28.8276727	Tepeüstü
5295857896	41.1328051	28.8340775	Habipler
5296377530	40.9631531	29.0897335	Şemsettin Günaltay Caddesi
5300978604	40.9359665	29.2148199	Adnan Kahveci
5310003982	41.1170315	28.8505402	Mescid-i Selam (Arnavutköy Yönü)
5316960216	41.1136528	28.8508685	Malkoçoğlu
5319891210	40.9480460	29.1235480	Küçükyalı;Küçükyalı Metro
5481070223	41.0169470	28.9293989	Pazartekke
5482167824	41.0026432	28.9634961	Yenikapi Sahil
5485052972	41.0043205	28.9208213	Biruni Üniversitesi
5485956521	41.0048865	28.9534108	Yenikapı Marmaray (Etkinlik Alanı Yönü
